name,slug,category,occasions,size_class,material,est_grams,est_print_hours,is_customizable,customization_fields,short_description,long_description,bullet_points,use_case,target_audience,stock_status,sku,tags,images,designer,source_url,license,commercial_ok
Facet Vase,facet-vase,home,housewarming|anniversary,M,PLA+,210,7.5,false,,A faceted vase whose planes catch light differently through the day.,"Built from sharp geometric facets, it reads as sculpture empty and as a centrepiece filled. Holds a discreet glass insert for fresh stems.",Glass insert included|Light-catching facets|Dried or fresh stems,"Living room, housewarming, anniversary","Home decorators, couples",Made to Order,TRK-016,"home,vase,decor",triakar/facet-vase-1|triakar/facet-vase-2,TriAkar Studio,,own,true
Arc Planter,arc-planter,home,housewarming|birthday,M,PETG,180,6,false,,A curved planter with a hidden reservoir for fuss-free indoor greenery.,"The gentle arc hides a self-watering reservoir, so small plants thrive with less attention. Drainage done right, design left clean.","Self-watering reservoir|Indoor drainage tray|Fits 4"" plants","Indoor plants, housewarming, desk","Plant lovers, home users",Made to Order,TRK-017,"home,planter,plants",triakar/arc-planter-1|triakar/arc-planter-2,TriAkar Studio,,own,true
Tea-Light Constellation,tea-light-constellation,home,anniversary|housewarming,S,PLA+,90,3.2,false,,A cluster of holders that scatter candlelight like a small constellation.,"Set across a table, the pierced holders throw soft points of light across the room. Quietly romantic, never fussy.",Set of 3 holders|Pierced light pattern|Fits standard tea-lights,"Dining, anniversary, ambient lighting","Couples, hosts",Made to Order,TRK-018,"home,candle,decor",triakar/tea-light-constellation-1|triakar/tea-light-constellation-2,TriAkar Studio,,own,true
Wall Panel Tile,wall-panel-tile,home,housewarming,L,PLA+,320,11,false,,A modular wall tile that builds into a textured statement panel.,"Each tile interlocks with the next to grow a relief panel as large as your wall allows. Start with three, expand whenever.",Interlocking modular tiles|Buildable to any size|Concealed mounting,"Feature walls, living room, housewarming",Home decorators,Made to Order,TRK-019,"home,wall art,panel",triakar/wall-panel-tile-1|triakar/wall-panel-tile-2,TriAkar Studio,,own,true
Incense Trail Holder,incense-trail-holder,home,housewarming|anniversary,S,PLA+,75,2.8,false,,A long trail holder that catches every fleck of incense ash.,A serene channel that holds a stick at the perfect angle and collects ash along its length — no scattered mess on the shelf. Made for daily ritual.,Full-length ash channel|Stable low profile|Easy to clean,"Pooja, meditation, housewarming","Home users, families",Made to Order,TRK-020,"home,incense,decor",triakar/incense-trail-holder-1|triakar/incense-trail-holder-2,TriAkar Studio,,own,true
Geometric Fruit Bowl,geometric-fruit-bowl,home,housewarming|anniversary,L,PETG,420,13,false,,An open lattice bowl that lets fruit breathe and looks the part.,"The airy lattice keeps fruit ventilated while doubling as a sculptural centrepiece. Food-safe PETG, wipe-clean finish.",Ventilated lattice|Food-safe PETG|Sculptural centrepiece,"Dining table, kitchen, housewarming","Home users, hosts",Made to Order,TRK-021,"home,bowl,kitchen",triakar/geometric-fruit-bowl-1|triakar/geometric-fruit-bowl-2,TriAkar Studio,,own,true
Modern Wall Clock,modern-wall-clock,home,housewarming|anniversary,L,PLA+,260,9,false,,A silent wall clock stripped to its cleanest geometric essentials.,"No numerals, no noise — just confident markers and a sweeping silent movement. Anchors a wall without shouting.",Silent sweep movement|Numeral-free face|Wall-mount ready,"Living room, office, housewarming",Home decorators,Made to Order,TRK-022,"home,clock,decor",triakar/modern-wall-clock-1|triakar/modern-wall-clock-2,TriAkar Studio,,own,true
Floating Shelf Bracket,floating-shelf-bracket,home,housewarming,M,PETG,200,7,false,,A concealed bracket that makes a shelf appear to float.,Carries real weight on a hidden internal rib while staying invisible behind the shelf. Sold as a supporting pair.,Sold as a pair|Concealed mounting|Holds up to 8 kg/pair,"Shelving, display, housewarming","Home users, DIYers",Made to Order,TRK-023,"home,shelf,bracket",triakar/floating-shelf-bracket-1|triakar/floating-shelf-bracket-2,TriAkar Studio,,own,true
Desk Diffuser Vessel,desk-diffuser-vessel,home,anniversary|housewarming,S,PLA+,85,3,false,,"A reed-diffuser vessel with a clean, weighted silhouette.","Holds diffuser oil and reeds in a form that suits a bedside, desk or basin. Quietly scents a room and looks composed doing it.","Holds reed diffuser oil|Weighted, spill-resistant|Matte finish","Bedroom, bathroom, anniversary gift","Home users, couples",Made to Order,TRK-024,"home,diffuser,decor",triakar/desk-diffuser-vessel-1|triakar/desk-diffuser-vessel-2,TriAkar Studio,,own,true
Nesting Bowl Set,nesting-bowl-set,home,housewarming|birthday,M,PETG,230,8,false,,"Three nesting trinket bowls for keys, jewellery and small change.","Graduated bowls that stack into one or spread across a surface. The everyday catch-all, designed to be left out.",Three nesting sizes|Food-safe PETG|Stack or spread,"Entryway, dresser, housewarming","Home users, couples",Made to Order,TRK-025,"home,bowl,trinket",triakar/nesting-bowl-set-1|triakar/nesting-bowl-set-2,TriAkar Studio,,own,true
Geometric Bookrest,geometric-bookrest,home,birthday|housewarming,M,PLA+,175,6,false,,A weighted rest that holds a book open hands-free.,Props a paperback or recipe book open at a comfortable angle so your hands stay free. A thoughtful gift for a reader or a cook.,"Hands-free reading angle|Weighted, non-slip|Folds nearly flat","Reading, cooking, gifting","Readers, home cooks",Made to Order,TRK-026,"home,bookrest,reading",triakar/geometric-bookrest-1|triakar/geometric-bookrest-2,TriAkar Studio,,own,true
Pendant Lamp Shade,pendant-lamp-shade,home,housewarming|anniversary,L,PLA+,290,10,false,,A geometric pendant shade that casts a patterned glow.,Slips over a standard pendant fitting to throw soft geometric shadows across the ceiling and walls. Transforms a bare bulb into a feature.,Fits standard E27 pendants|Patterned shadow cast|Heat-aware design,"Living room, dining, housewarming",Home decorators,Made to Order,TRK-027,"home,lamp,lighting",triakar/pendant-lamp-shade-1|triakar/pendant-lamp-shade-2,TriAkar Studio,,own,true
Soap Dish Drainer,soap-dish-drainer,home,last-minute|housewarming,S,PETG,70,2.6,false,,A ribbed soap dish that drains and dries the bar between uses.,Angled ribs let water run off so the bar lasts longer and the basin stays clean. A small fix you notice every morning.,Self-draining ribs|Water-resistant PETG|Suction-stable base,"Bathroom, kitchen, housewarming",Home users,Made to Order,TRK-028,"home,soap dish,bath",triakar/soap-dish-drainer-1|triakar/soap-dish-drainer-2,TriAkar Studio,,own,true
Key + Mail Wall Rack,key-mail-wall-rack,home,housewarming|anniversary,M,PLA+,195,6.8,true,"[{""label"":""Personalisation (name / text / date)"",""type"":""text"",""required"":false}]",A wall rack that catches keys and the day's mail by the door.,"Hooks for keys below, a slim ledge for letters above — the entryway, organised. Add an engraved family name to make it a housewarming gift.",Key hooks + mail ledge|Concealed wall mount|Optional engraving,"Entryway, housewarming gift","Families, couples",Made to Order,TRK-029,"home,key rack,entryway,personalised",triakar/key-mail-wall-rack-1|triakar/key-mail-wall-rack-2,TriAkar Studio,,own,true
